subject,body,queue,sector,specific_sector,priority,priority_level,language,dataset_source
meldungen über sporadische verzögerungen bei der clickup-integration heute,"liebes support-team, wir erleben sporadische verzögerungen bei der clickup-integration in datavest. die synchronisierung hinkt gelegentlich hinterher, was die produktivitätseinblicke unseres teams beeinträchtigt. obwohl ein workaround existiert, benötigen wir eine lösung innerhalb von 24 stunden, um die projektfristen einzuhalten. wir würden ihre schnelle aufmerksamkeit für dieses anliegen sehr schätzen. bitte informieren sie mich, falls sie weitere details benötigen. vielen dank für ihre unterstützung. mit freundlichen grüßen, <name>",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
supportanfrage zur datadog-integration,"grüßes support-team, hier ist brandpulse digital. wir möchten das datadog sdk in unser system integrieren, um die überwachung der release-pipelines für marketing-tool-einführungen zu verbessern. könnten sie uns bitte die aktuelle sdk-dokumentation zukommen lassen? dies würde uns erheblich dabei helfen, unsere arbeitsabläufe zu optimieren. wir hatten schwierigkeiten, aktuelle materialien zu finden. unser team arbeitet mit der neuesten sdk-version und plant deren implementierung in mehreren systemen. für jegliche unterstützung wären wir sehr dankbar. vielen dank für ihre unterstützung und ihre zeit.",release management,release management,nan,low,2,german,german
aws-bereitstellungspipeline schlägt nach sicherheitsupdate fehl,"liebes support-team, ich habe ein ernstes problem mit unserer aws-bereitstellungspipeline, die nach anwendung des jüngsten sicherheitspatches fehlgeschlagen ist. dieses versagen behindert notwendige hipaa-updates und schafft compliance-risiken. ich benötige dringend ihre hilfe, um dieses problem zu beheben.",release management,release management,nan,high,4,german,german
problem mit der smart home überwachungskamera,"liebes support-team, ich habe sporadische probleme mit der ki-bewegungserkennung an meiner safehome security smart-home kamera. obwohl ich die manuellen aufnahmen ansehen kann, funktioniert die erkennungsfunktion nicht richtig. ich benötige ein update oder eine lösung innerhalb der nächsten 24 stunden. grüße, <name>",security operations,security operations,nan,medium,3,german,german
intermittierende fehler bei rollback-deployment von node.js 14.17,"liebes support-team,\n\nich habe probleme mit dem rollback-deployment der node.js-version 14.17, das gelegentlich fehlschlägt. obwohl ich eine temporäre lösung gefunden habe, wird eine dauerhafte lösung benötigt. wir verwenden aeronav systems mit node.js 14.17. dieses problem hat mittlere priorität.\n\nihre unterstützung bei der lösung dieses problems wäre sehr willkommen.\n\n- <name>",release management,release management,nan,medium,3,german,german
ausfall von elasticsearch beeinträchtigt elektronische gesundheitsakten-dienste,"liebes support-team, ich melde ein schwerwiegendes problem, bei dem der ausfall des elasticsearch-clusters zu einer vollständigen unterbrechung des zugriffs auf elektronische gesundheitsakten (ehr) innerhalb der telemedizin-dienste geführt hat. der fehler trat im elasticsearch-cluster von healthguard systems auf, einem wichtigen bestandteil der gesundheitsfunktionen. gemäß unserer service level agreement (sla) bitte ich um eine dringende eskalation an den anbieter, um dieses problem schnell zu beheben und mögliche verstöße gegen die betriebszeit zu minimieren. der ausfall begann um 10:00 est und dauert bereits seit über zwei stunden an.",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
sicherheitsbenachrichtigung: unbefugter zugriff erkannt,"liebes support-team, ich melde ein dringendes sicherheitsproblem im zusammenhang mit der safehome security ai-kamera. das gerät hat warnmeldungen ausgelöst, die auf versuche eines unbefugten zugriffs hinweisen, was auf eine mögliche sicherheitsverletzung schließen lässt. ich mache mir große sorgen um die sicherheit meines hauses und bitte um sofortige hilfe, um diese situation zu bewältigen. die kamera ist an meiner wohnadresse installiert und wird mit der neuesten softwareversion betrieben. in den letzten 24 stunden wurden mehrere warnungen empfangen, die letzte um 10:00 uhr. anbei finden sie die relevanten details.",security operations,security operations,nan,high,4,german,german
intermittierende build-fehler in den monday.com ci/cd-pipelines von novapm,"liebes support-team,\n\nich habe sporadische build-fehler in den ci/cd-pipelines, die in monday.com bei novapm integriert sind. obwohl momentan eine übergangslösung besteht, benötige ich innerhalb von 24 stunden eine dauerhafte behebung. das problem tritt bei der verwendung von windows 10 mit dem chrome-browser auf. im anhang finden sie einen screenshot der fehlermeldung zur besseren veranschaulichung.\n\nbitte unterstützen sie mich dabei, dieses problem so schnell wie möglich zu lösen.\n\nvielen dank,\n<name>",software development,software development,nan,medium,3,german,german
fehler während des docker-image-build-prozesses,"liebes support-team,\n\nich melde ein kritisches problem, bei dem die docker-pipeline die logisticore-bereitstellungen stoppt. dieses problem begann heute früher und verhindert echtzeit-updates der lieferkette, was zu erheblichen betrieblichen unterbrechungen führt. die umgebung verwendet docker version 20.10.7 auf einem ubuntu 20.04 lts-system. jeder versuch, das docker-image zu erstellen, schlägt mit einer unklaren fehlermeldung fehl. ich habe versucht, das problem durch überprüfung der docker-protokolle zu untersuchen, konnte die ursache jedoch nicht identifizieren.",software development,software development,nan,high,4,german,german
problem mit adobe sign single sign-on (sso),"liebes support-team, wir stoßen bei der einrichtung von adobe sign sso während der integration von legallink sporadisch auf fehler. dieses problem verhindert derzeit die vertragsautomatisierung, und wir haben als übergangslösung einen manuellen upload implementiert. das problem tritt auf, wenn versucht wird, sso zu konfigurieren, was dazu führt, dass der onboarding-prozess fehlschlägt. wir wären ihnen dankbar für ihre schnelle hilfe bei der lösung dieses problems, um eine reibungslose vertragsautomatisierung zu ermöglichen. bitte lassen sie uns wissen, ob sie weitere details benötigen.",customer onboarding,customer onboarding,nan,medium,3,german,german
verzögerungen bei bereitstellungsbenachrichtigungen über sendgrid,"liebes support-team, wir stellen gelegentliche verzögerungen beim empfang von benachrichtigungen zum bereitstellungsstatus von zenithflow über sendgrid fest, was sich auf die dashboards der beteiligten auswirkt. das problem tritt sporadisch auf und ein manuelles aktualisieren behebt es meist vorübergehend. dieses problem wurde in den letzten tagen beobachtet und verursacht unannehmlichkeiten. könnten sie dies bitte untersuchen und innerhalb der nächsten 24 stunden beheben? wir würden ihre hilfe sehr schätzen, um die echtzeit-benachrichtigungen wiederherzustellen. vielen dank für ihre unterstützung. mit freundlichen grüßen, <name>",release management,release management,nan,medium,3,german,german
kritische sicherheitsverletzung der firewall,"liebes support-team,\n\nich melde eine schwerwiegende fehlfunktion der ki-eindringungserkennungs-firewall von safehome. der ausfall hat dazu geführt, dass der sicherheitsalarm ausgelöst wurde, was unbefugten zugang ermöglichte. wir benötigen dringend unterstützung, um das vpn und lan zu stabilisieren und weitere sicherheitsverletzungen zu verhindern. das problem begann gestern und besteht trotz neustarts des systems weiterhin. bitte helfen sie uns, dieses problem so schnell wie möglich zu lösen. für ihre schnelle unterstützung danken wir ihnen sehr.\n\nmit freundlichen grüßen,\n<name>",network infrastructure,network infrastructure,nan,high,4,german,german
anfrage nach aktualisierter bitbucket-pipeline-dokumentation für hipaa-konforme verschlüsselung,"liebes support-team, hier ist medisecure health, das sie kontaktiert. wir benötigen eine klärung bezüglich der bitbucket-pipeline-dokumentation, um sicherzustellen, dass der verschlüsselungsbereitstellungsprozess den hipaa-vorschriften entspricht. könnten sie bitte die aktuellste dokumentation bereitstellen? vielen dank, <name>",software development,software development,nan,low,2,german,german
button-kontrastproblem,"liebes support-team, ich möchte ein problem mit der video-konferenzschnittstelle im produkt ignitebrand studios' videokonferenzsystem melden. mir ist aufgefallen, dass die schaltflächen innerhalb der schnittstelle einen schlechten kontrast aufweisen, was deren sichtbarkeit während kundensitzungen stark verringert. dieses anhaltende problem beeinträchtigt das gesamte benutzererlebnis erheblich und erschwert es den kunden, die schnittstelle effektiv zu bedienen. ich habe versucht, die anzeigeeinstellungen auf meiner seite anzupassen, aber das problem tritt weiterhin auf mehreren geräten und browsern auf. dennoch habe ich entdeckt",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
dringendes problem mit der zahlungsabwicklung der shopify-abonnementrechnung,"liebes support-team, hier ist nextwave marketing, das sie bezüglich eines schwerwiegenden problems mit der zahlungsabwicklung der shopify-abonnementrechnung kontaktiert. wir haben eine störung bei der zahlungsabwicklung, die die kundenabonnements beeinträchtigt. dies ist ein sehr wichtiges anliegen, das sofort behoben werden muss, um serviceunterbrechungen zu vermeiden. das problem wurde erstmals gestern bemerkt und besteht weiterhin. wir würden ihre schnelle hilfe sehr schätzen, um dies so bald wie möglich zu lösen. bitte informieren sie mich, falls sie weitere details benötigen. vielen dank für ihre umgehende aufmerksamkeit.",account & billing management,account & billing management,nan,high,4,german,german
anfrage nach versionshinweisen und tutorials zur snagit screencast-integration,"liebes support-team,\n\nich suche tutorials und versionshinweise zur snagit screencast-integration. könnten sie mir diese bitte zur verfügung stellen?\n\nmit freundlichen grüßen\n<name>",release management,release management,nan,low,2,german,german
anfrage für kleine änderungen an gdpr-klauseln in ecologix-verträgen,"liebes support-team, ich benötige einige kleinere anpassungen an den gdpr-anlagen innerhalb der ecologix-verträge. bitte prüfen sie diese, um sicherzustellen, dass sie den eu-datenschutzbestimmungen entsprechen. vielen dank, <name>",legal & compliance requests,legal & compliance requests,nan,low,2,german,german
dringender rollback-fehler unter windows 10 pro,"liebes support-team, ich habe ein ernstes problem mit den solarmonitoringsystemen nach einem fehlgeschlagenen update unter windows 10 pro. der automatische rollback-mechanismus reagiert nicht, was zu unterbrechungen unserer abläufe führt. sofortige unterstützung wird benötigt, um dieses problem zu beheben. bitte helfen sie so schnell wie möglich. vielen dank, <name>",release management,release management,nan,high,4,german,german
vpn-verbindungsabbruch führt zur offenlegung medizinischer daten,"liebes support-team, ich melde ein kritisches problem mit der vpn-verbindung bei biotrust technologies. wir verwenden ein western digital book duo, um verschlüsselte medizinische aufzeichnungen zu speichern, aber aufgrund einer fehlfunktion der vpn-verbindung sind diese aufzeichnungen dem risiko unbefugten zugriffs ausgesetzt. dies ist ein hochprioritäres anliegen, das sofort behoben werden muss, um mögliche datenpannen zu vermeiden. das problem tritt bei dem western digital book duo-gerät auf, das mit der neuesten softwareversion läuft. ein neustart des geräts wurde bereits versucht.",network infrastructure,network infrastructure,nan,high,4,german,german
hilfe bei der quickbooks-integration,"hallo support-team, ich wende mich bezüglich der quickbooks online-integration an, die von skillwave angeboten wird. nachdem ich kürzlich auf den jahresplan umgestiegen bin, habe ich die anteiligen abonnementberechnungen bemerkt, fand die dokumentation jedoch unklar. ich würde es sehr schätzen, wenn sie die dokumentation aktualisieren könnten, um zu erläutern, wie anteilige abonnements innerhalb der quickbooks online-integration berechnet werden. das würde mir helfen, den abrechnungsprozess besser zu verstehen und sicherzustellen, dass die ausgabenverfolgung korrekt ist. ich habe die vorhandene dokumentation bereits überprüft und wäre für weitere details dankbar.",account & billing management,account & billing management,nan,low,2,german,german
gelegentliche vpn-ausfälle bei routern,"liebes support-team, wir haben sporadische vpn-verbindungsabbrüche, die d-link dir-895l router während der shoplink commerce abläufe betreffen. nutzer haben intermittierende verbindungsverluste festgestellt, und obwohl manuelles wiederverbinden eine vorübergehende lösung bietet, beeinträchtigt das problem den checkout-prozess. ihre unterstützung bei der lösung dieses problems wäre sehr willkommen. vielen dank, <name>",network infrastructure,network infrastructure,nan,medium,3,german,german
hilfe benötigt bei kritischem problem,"liebes support-team, ich habe ein kritisches problem mit scikit-learn, das den onboarding-prozess für unseren kunden alphafusion finance beeinträchtigt. der fehler führt dazu, dass die datenmigration fehlschlägt und behindert die konfiguration ihres ki-portfolios. sofortige hilfe ist erforderlich, um dieses problem zu beheben und verzögerungen oder kundenverluste zu vermeiden. bitte unterstützen sie uns so bald wie möglich. vielen dank, <name>",customer onboarding,customer onboarding,nan,high,4,german,german
timeout-probleme,"liebes support-team, ich habe probleme mit der kubernetes-integration. intermittierende timeout-fehler während der deployments beeinträchtigen die update-workflows. die integration ist auf der novapm-plattform konfiguriert, und das problem tritt unvorhersehbar ohne klares muster auf. die umgebungsdaten sind: betriebssystem - ubuntu 20.04, browser - google chrome, gerät - dell xps 13. es wurden bereits versuche unternommen, manuelle skripte auszuführen, um die funktionalität wiederherzustellen, aber verzögerungen bei kritischen updates bestehen weiterhin. ihre unterstützung wird sehr geschätzt.",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
problem mit new relic integration,"liebes support-team, ich habe ein kritisches problem mit der new relic metriken-integration, das die einrichtung von zenithflow stoppt und den zugriff auf das echtzeit-dashboard blockiert. ich benötige dringend unterstützung, um den onboarding-prozess fortsetzen zu können. vielen dank, <name>",customer onboarding,customer onboarding,nan,high,4,german,german
seagate-laufwerk verursacht probleme beim etl-prozess,"sehr geehrtes support-team, hier spricht datavest advisors bezüglich unserer seagate expansion desktop 6tb festplatte. wir haben während der nächtlichen datenaufnahme intermittierende verbindungsabbrüche, die zu teilweisen ausfällen im etl-verfahren führen. unser team muss den prozess derzeit manuell neu starten, was zu verzögerungen bei der finanzberichterstattung führt. dieses problem besteht bereits seit mehreren tagen ohne änderung. ich habe einen screenshot der fehlermeldung zur ihrer information beigefügt. könnten sie uns bitte bei der lösung dieses problems unterstützen? wir wären ihnen für eine zeitnahe hilfe sehr dankbar. mit freundlichen grüßen,",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
fehler während der docusign-integrationsbereitstellung,"liebes support-team, ich melde einen kritischen bereitstellungsfehler, der die docusign-integration von logisticore betrifft und die vertragsabwicklung gestört hat. dieses problem hat die logistikabläufe zum stillstand gebracht und zu erheblichen verzögerungen bei der einhaltung vertraglicher verpflichtungen geführt. da logisticore stark auf docusign für die vertragsautomatisierung angewiesen ist, beeinträchtigt dieser ausfall direkt den betrieb. wir benötigen dringend hilfe, um die freigabe zurückzusetzen und die vertragsabwicklung in der lieferkette wiederherzustellen. der fehler trat während der letzten bereitstellung auf; ein screenshot der fehlermeldung ist beigefügt.",release management,release management,nan,high,4,german,german
anfrage zur unterstützung bei der airtable-abrechnungssynchronisierung,"liebes support-team,\n\nich wende mich an skillwave bezüglich der verfolgung von abonnementrechnungen für die airtable-integration. ich benötige unterstützung dabei, zu verstehen, wie die integration korrekt konfiguriert wird, um eine präzise abrechnungsübersicht zu gewährleisten, einschließlich der handhabung von anteiligen gutschriften. unser team nutzt airtable zur verwaltung von rechnungen, hat jedoch schwierigkeiten, die einrichtung so vorzunehmen, dass abrechnungsdaten genau angezeigt werden.\n\nkönnten sie bitte eine anleitung zu bewährten verfahren für diese integration bereitstellen? jegliche dokumentation oder unterstützende materialien wären sehr hilfreich.\n\nvielen dank für ihre zeit und unterstützung.\n\nmit freundlichen grüßen,\n<name>",account & billing management,account & billing management,nan,low,2,german,german
clickup-übertragung nicht erfolgreich,"hallo support-team, wir haben ein großes problem während der clickup-onboarding-migration, das zu einem systemausfall führt.",customer onboarding,customer onboarding,nan,high,4,german,german
schwerwiegender mysql-datenverlust beeinträchtigt die compliance-überwachung,"liebes support-team,\n\nich melde ein ernsthaftes problem mit der mysql-datenbank, das zu erheblichen datenverlusten geführt hat. der ausfall ereignete sich auf unserem produktionsserver, der unter linux os läuft, und hat die compliance-überwachung unterbrochen. dadurch besteht das risiko von compliance-verstößen, und wir benötigen dringend eine lösung, um die audit-dokumentation aktuell zu halten. das problem begann am 10. februar um 10:00 uhr und ist weiterhin nicht behoben. im anhang finden sie einen screenshot der fehlermeldung zu ihrer information.\n\ndieser vorfall betrifft legallink solutions.",legal & compliance requests,legal & compliance requests,nan,high,4,german,german
anfrage zu rechnungsdetails,"liebes support-team, ich kontaktiere sie bezüglich des brandpulse digital abonnements über shopify. ich habe einige fragen zur aktuellen rechnung, insbesondere dazu, wie die partnerschaftsgebühren aufgeschlüsselt sind. ich denke, es wäre hilfreich, eine klarere trennung der verschiedenen kostenpunkte zu haben, um die transparenz in der finanzdokumentation des unternehmens zu verbessern. ich wäre ihnen sehr dankbar, wenn sie eine überarbeitung des rechnungsformats in betracht ziehen könnten, um eine detaillierte aufschlüsselung der gebühren zu integrieren. dies ist ein dringendes anliegen; der vorschlag könnte jedoch auch für zukünftige rechnungen gelten.",account & billing management,account & billing management,nan,low,2,german,german
paypal als zahlungsmethode einbinden,"liebes support-team, ich möchte mich erkundigen, ob es möglich ist, paypal für zahlungen des maple-abonnements zu integrieren. mit freundlichen grüßen, <name>",account & billing management,account & billing management,nan,low,2,german,german
fehler im oracle etl-pipeline,"liebes support-team, ich erlebe sporadische fehler in der etl-pipeline, die mit der oracle 19c-datenbank verbunden ist. diese unterbrechungen beeinträchtigen unsere vertriebs-dashboards, und das manuelle nachladen der daten bietet nur eine kurzfristige lösung. ich wäre dankbar für ihre unterstützung bei der behebung dieses problems.",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
ios-bereitstellungsproblem,"sehr geehrtes support-team, ich melde sporadische bereitstellungsfehler auf cisco ios 15.4 quantedge-servern. die geplante einführung schlägt gelegentlich zu zufälligen zeiten fehl, was zu verzögerungen bei der synchronisierung der asset-daten führt. wir haben beobachtet, dass das manuelle anwenden von patches eine vorübergehende lösung bietet. ich wäre dankbar für unterstützung bei der lösung dieses problems. bitte lassen sie mich wissen, falls sie weitere details benötigen. mit freundlichen grüßen, <name>",release management,release management,nan,medium,3,german,german
dringendes problem mit der synchronisierung der wetterdaten,"liebes support-team, ich melde ein kritisches problem mit der aeronav systems-integration in microsoft teams. wir haben eine fehlfunktion bei der synchronisierung der wetterdaten, die unsere flugplanungsprozesse erheblich stört. dies ist ein dringendes problem, da es die flugsicherheit direkt beeinträchtigt. das problem trat heute früher auf, und wir benötigen innerhalb der nächsten 4 stunden eine lösung, um betriebsunterbrechungen zu vermeiden. im anhang finden sie einen screenshot der fehlermeldung zu ihrer information. unser unternehmen ist stark von dieser integration abhängig, daher sind ausfallzeiten problematisch.",partner & vendor coordination,partner & vendor coordination,nan,high,4,german,german
"verzögerungen bei bereitstellungsbenachrichtigungen, die über sendgrid gesendet werden","liebes support-team, ich habe gelegentlich verzögerungen beim empfang von statusaktualisierungen zur bereitstellung von zenithflow über sendgrid, was sich auf die dashboards der stakeholder auswirkt. das problem tritt unregelmäßig auf, und in der regel behebt ein manueller aktualisierungsvorgang das problem vorübergehend. dieses problem wurde in den letzten tagen beobachtet und verursacht einige unannehmlichkeiten. könnten sie dies bitte untersuchen und innerhalb der nächsten 24 stunden lösen? ihre unterstützung bei der wiederherstellung der echtzeit-benachrichtigungen wäre sehr geschätzt. vielen dank für ihre unterstützung. mit freundlichen grüßen, <name>",release management,release management,nan,medium,3,german,german
unterstützung bei adobe sign für ehr,"hallo support-team, könntet ihr mir bitte die neuesten adobe sign anleitungen für das ehr-onboarding zur verfügung stellen? - <name>",customer onboarding,customer onboarding,nan,low,2,german,german
synchronisierungsfehler,"liebes support-team, ich habe sporadische ausfälle beim synchronisieren der notion-compliance-protokolle mit legallink. als vorübergehende lösung dient der manuelle export als workaround. bitte helfen sie bei der behebung dieses problems.",partner & vendor coordination,partner & vendor coordination,nan,medium,3,german,german
zugriff auf kamera nicht möglich,"liebes support-team, die smart-home-kamera wurde aufgrund einer nicht erfolgten zahlung für das abonnement deaktiviert. eine dringende lösung ist erforderlich, um die sicherheitsüberwachung wiederherzustellen.",account & billing management,account & billing management,nan,high,4,german,german
konflikt im bereitstellungsplan,"liebes support-team, ich kontaktiere sie bezüglich eines problems mit der microsoft dynamics 365-bereitstellung. wir haben einen terminüberschneidung, die den bereitstellungszeitplan beeinträchtigt. dieser konflikt stört den freigabevalidierungsprozess, und wir benötigen unterstützung bei der anpassung des bereitstellungsfensters, um das problem zu beheben. glücklicherweise haben wir eine mögliche zwischenlösung gefunden, indem wir ein alternatives bereitstellungsfenster nutzen. ich wäre dankbar, wenn wir dies besprechen könnten, um eine lösung zu finden. das problem begann gestern und wir möchten es so schnell wie möglich beheben.",release management,release management,nan,medium,3,german,german
anfrage zur mehrsprachigen unterstützung,"liebes support-team, ich suche unterstützung bei der integration von microsoft translator in die abrechnungsportale von agrisense analytics, um mehrsprachigen zugang zu ermöglichen. dies wird uns helfen, unseren internationalen landwirtschaftlichen kunden besser zu dienen. wir würden es begrüßen, wenn sie diese funktion aktivieren könnten, um sie mit den sprachunterstützungsfunktionen des agrisense-kontenmanagements in einklang zu bringen. vielen dank, <name>",account & billing management,account & billing management,nan,low,2,german,german
sicherheits-update-benachrichtigungen für macos monterey,"sehr geehrtes support-team, ich wende mich an sie bezüglich der automatischen benachrichtigungen für sicherheitsupdates auf macos monterey, um die hipaa-konformität einzuhalten. unsere organisation verlangt häufige updates, um die einhaltung der dokumentationsanforderungen sicherzustellen. wir würden gerne darum bitten, dass das system uns über alle sicherheitsupdates im zusammenhang mit macos monterey informiert. dies hilft uns, stets auf dem neuesten stand zu bleiben und die compliance zu gewährleisten. können sie uns bitte dabei unterstützen, diese benachrichtigungen zu konfigurieren? wir danken ihnen für ihre hilfe in dieser angelegenheit. vielen dank für ihre zeit. mit freundlichen grüßen,",security operations,security operations,nan,low,2,german,german
kritischer dsgvo-verstoß auf der talentfusion hr-plattform erfordert sofortige aufmerksamkeit,"liebes support-team, mcafee hat einen schweren dsgvo-verstoß festgestellt, der die talentfusion hr-plattform betrifft und bei dem kandidatendaten offengelegt werden. es ist dringend erforderlich, schnell zu handeln, um mögliche rechtliche konsequenzen zu vermeiden. ihre unterstützung wird dringend benötigt.",legal & compliance requests,legal & compliance requests,nan,high,4,german,german
probleme durch ausfälle der azure pipeline,"liebes support-team, wir haben sporadische bereitstellungsfehler in azure, die die echtzeit-analyse-updates für optiinvest beeinträchtigen. vorübergehende entlastung wurde durch manuelle neu-bereitstellungen erreicht. wir bitten um ihre unterstützung.",release management,release management,nan,medium,3,german,german
identifiziertes problem mit der dsgvo-konformität,"liebes support-team, ich habe probleme im zusammenhang mit der dsgvo-überwachung bei gitlab und muss daher manuelle prüfungen durchführen.",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
problem mit dem update-prozess,"liebes support-team, ich habe probleme mit updates bei symantec endpoint protection version 14.3 sowie safehome security.",security operations,security operations,nan,medium,3,german,german
unterstützung bei der quickbooks-integration,"sehr geehrtes support-team, ich wende mich an sie bezüglich der skillwave quickbooks online-integration. nachdem ich kürzlich meinen jahresplan aktualisiert habe, ist mir aufgefallen, dass die anteiligen abonnementberechnungen in der verfügbaren dokumentation nicht eindeutig dargestellt sind. es wäre sehr hilfreich, wenn sie die dokumentation aktualisieren könnten, um klarzustellen, wie anteilige abonnements innerhalb der quickbooks online-integration berechnet werden. diese klarstellung würde mir helfen, meine abrechnung besser zu verstehen und sicherzustellen, dass meine ausgaben genau erfasst werden. ich habe die aktuelle dokumentation bereits überprüft, benötige diese informationen jedoch noch.",account & billing management,account & billing management,nan,low,2,german,german
unvollständige etl-verarbeitungsfehler in containern,"liebes support-team, wir stoßen sporadisch auf teilweise datenaufnahmefehler in den etl-pipelines von urbangrid, die innerhalb von docker-containern ausgeführt werden. obwohl eine vorübergehende lösung existiert, benötigen wir innerhalb der nächsten 24 stunden eine dauerhafte behebung. - <name>",data analytics & reporting,data analytics & reporting,nan,medium,3,german,german
dringendes problem: tensorflow-pipeline-fehler,"liebes support-team,\n\nich melde einen kritischen ausfall in der tensorflow-etl-pipeline für logisticore. die pipeline ist abgestürzt, was zu unterbrechungen bei der echtzeit-datenaufnahme der lieferkette und den prozessen zur nachfrageprognose führt. dies ist eine angelegenheit mit hoher priorität, die innerhalb von 4 stunden behoben werden muss. wir haben versucht, die pipeline neu zu starten, aber das problem bleibt bestehen. der ausfall trat heute morgen um 10:00 uhr auf. anbei finden sie einen screenshot der fehlermeldung zu ihrer information.\n\nbitte unterstützen sie uns dabei, dieses problem so schnell wie möglich zu lösen. vielen dank.",data analytics & reporting,data analytics & reporting,nan,high,4,german,german
erkannte dsgvo-konformitätsprobleme,"liebes support-team, wir haben herausforderungen bei der dsgvo-überwachung innerhalb von gitlab, die manuelle überprüfungen erfordern.",legal & compliance requests,legal & compliance requests,nan,medium,3,german,german
anfrage für einsatzzeiten außerhalb der stoßzeiten in sentry,"liebes support-team, ich möchte darum bitten, einsatzfenster während der nebenverkehrszeiten für die planungsfunktion einzurichten. grüße, <name>",release management,release management,nan,low,2,german,german
verbesserung der verständlichkeit der github ci/cd-pipeline-dokumentation,"liebes support-team,\n\nich schreibe, um ein update der github ci/cd-pipeline-dokumentation für brandpulse digital zu beantragen. als omnichannel-marketingunternehmen sind wir stark auf unsere github-code-ci/cd-workflows angewiesen. derzeit könnte die dokumentation verbessert werden, um die einarbeitung neuer mitwirkender zu erleichtern und verwirrung bezüglich der konfigurationen zu reduzieren. ich bin überzeugt, dass diese verbesserungen die produktivität und effizienz unseres teams deutlich steigern würden.\n\ndieses vorgeschlagene update ist nicht dringend und zielt auf eine schrittweise verbesserung mit minimalen unterbrechungen des betriebs ab. die dokumentation wurde zur vorbereitung bereits überprüft.",software development,software development,nan,low,2,german,german
fehler in der github actions integration,"liebes support-team, ich stoße sporadisch auf fehler, wenn die release-automatisierung von zenithflow durch github actions aktualisiert wird. derzeit gibt es eine cli-umgehungslösung. ihre unterstützung bei der behebung dieses problems wäre sehr willkommen.",release management,release management,nan,medium,3,german,german
kompromittierung der datenbanksicherheit,"liebes support-team, ich melde einen kritischen sicherheitsverstoß, der unsere postgresql 13-datenbank betrifft. die flugplanungsdatenbank wurde kompromittiert, was die sicherheit unserer flugdaten gefährdet. wir benötigen umgehend einen patch, um die datenintegrität zu schützen. bitte unterstützen sie uns innerhalb von 4 stunden, um jegliche datenexfiltration zu verhindern. ihre schnelle reaktion auf dieses dringende problem wird sehr geschätzt. vielen dank, <name>",security operations,security operations,nan,high,4,german,german
inkonsistente farbkontrastvalidierung in adobe illustrator cc 2021,"liebes support-team, ich stelle unregelmäßigkeiten bei der farbkontrastvalidierung fest, während ich das ui des clinicsync telemedizin-portals mit adobe illustrator cc 2021 prototypisiere. dieses problem verursacht verzögerungen bei der umsetzung der notwendigen barrierefreiheitsanpassungen. ich arbeite an einem windows 10-computer mit allen aktuellsten updates. als vorübergehende maßnahme habe ich manuelle kontrastprüfungen mit drittanbieter-tools durchgeführt. ich wäre dankbar, wenn sie dieses problem untersuchen könnten. bitte lassen sie mich wissen, falls sie weitere informationen von meiner seite benötigen. vielen dank.",user experience & design feedback,user experience & design feedback,nan,medium,3,german,german
anfrage zur verbesserung der funktionalität,"liebes support-team, ich möchte eine verbesserung der hellosign-integration in legallink anfragen, insbesondere mit dem ziel, die compliance-tracking-fähigkeiten zu verbessern. jemand, der diese integration nutzt, ist der meinung, dass ein besseres compliance-tracking eine verbesserte sichtbarkeit der prüfpfade bieten würde. dies entspricht genau dem schwerpunkt von legallink solutions auf compliance-überwachung bei der koordination von partnern und lieferanten, einschließlich des managements von drittanbieter-slas. obwohl ich verstehe, dass dies eine weniger prioritäre funktionsanfrage ist, glaube ich, dass sie die effektivität des workflows erheblich steigern könnte. ich würde mich über ihre prüfung freuen.",partner & vendor coordination,partner & vendor coordination,nan,low,2,german,german
problem mit aws-abrechnungsinkonsistenzen,"liebes support-team, ich kontaktiere sie wegen unklarer gebühren auf aws im zusammenhang mit den ki-wartungstools von greenstream energy. unsere abläufe laufen weiter, und wir benötigen eine klärung der letzten rechnungen, um die korrekte abrechnung zu bestätigen. die gebühren erscheinen im vergleich zu unserem erwarteten verbrauch inkonsistent, daher würden wir eine detaillierte aufschlüsselung der rechnung schätzen. könnten sie bitte die ursache der abweichungen erklären und die rechnungen bei bedarf anpassen? dieses anliegen hat mittlere priorität, und wir möchten es zügig klären, um verwirrung zu vermeiden. eine kopie der rechnung ist beigefügt.",account & billing management,account & billing management,nan,medium,3,german,german
probleme bei der salesforce crm-integration,"liebes support-team, wir haben sporadische authentifizierungsfehler bei der salesforce crm-integration von zenithflow, was zu unvollständiger datensynchronisation führt. bitte implementieren sie den sicherheitspatch mit der zwischenlösung innerhalb der nächsten 24 stunden. vielen dank, <name>",security operations,security operations,nan,medium,3,german,german
